Subject,Condition,Race,Gender,Trial,Puzzle,PuzOrd,SpcOrd,resphelp,resphelpwho,IndSolv,,,,,,,,,,,,,,,
27,F,W,F,2,I,4,1,1,A,,,,,,,,,,,,,,,,
27,F,W,F,3,M,4,1,0,,1,,,,,,,,,,,,,,,
27,F,W,F,4,T,4,1,0,,1,,,,,,,,,,,,,,,
28,U,O,F,1,S,4,2,0,,1,,,,,,,,,,,,,,,
28,U,O,F,2,I,4,2,0,,1,,,,,,,,,,,,,,,
28,U,O,F,3,M,4,2,0,,1,,,,,,,,,,,,,,,
28,U,O,F,4,T,4,2,0,,1,,,,,,,,,,,,,,,
29,U,AA/W,F,1,S,4,1,1,B,,,,,,,,,,,,,,,,
29,U,AA/W,F,2,I,4,1,0,,,,,,,,,,,,,,,,,
29,U,AA/W,F,3,M,4,1,0,,,,,,,,,,,,,,,,,
29,U,AA/W,F,4,T,4,1,0,,,,,,,,,,,,,,,,,
30,U,W,M,1,I,1,2,0,,,,,,,,,,,,,,,,,
30,U,W,M,2,M,1,2,1,B,,,,,,,,,,,,,,,,
30,U,W,M,3,T,1,2,0,,,,,,,,,,,,,,,,,
30,U,W,M,4,S,1,2,0,,,,,,,,,,,,,,,,,
31,U,W,F,1,M,2,2,1,A,,,,,,,,,,,,,,,,
31,U,W,F,2,T,2,2,1,B,,,,,,,,,,,,,,,,
31,U,W,F,3,S,2,2,0,,,,,,,,,,,,,,,,,
31,U,W,F,4,I,2,2,1,B,,,,,,,,,,,,,,,,
32,F,A/W,F,1,T,3,2,0,,1,,,,,,,,,,,,,,,
32,F,A/W,F,2,S,3,2,0,,1,,,,,,,,,,,,,,,
32,F,A/W,F,3,I,3,2,0,,1,,,,,,,,,,,,,,,
32,F,A/W,F,4,M,3,2,0,,1,,,,,,,,,,,,,,,
33,F,W,F,1,S,4,1,0,,1,,,,,,,,,,,,,,,
33,F,W,F,2,I,4,1,0,,1,,,,,,,,,,,,,,,
33,F,W,F,3,M,4,1,0,,1,,,,,,,,,,,,,,,
33,F,W,F,4,T,4,1,0,,1,,,,,,,,,,,,,,,
34,F,W,F,1,M,2,1,0,,,,,,,,,,,,,,,,,
34,F,W,F,2,T,2,1,0,,1,,,,,,,,,,,,,,,
34,F,W,F,3,S,2,1,1,A,,,,,,,,,,,,,,,,
34,F,W,F,4,I,2,1,0,,1,,,,,,,,,,,,,,,
